City,Total_Sales,Total_Profit,Avg_Days_to_Ship
New York City,60390.23000000007,11292.79,4.099173553719008
Los Angeles,80790.91000000006,10076.650000000005,4.034214618973562
San Francisco,40190.959999999985,6296.13,3.7546296296296298
Seattle,38088.24999999997,5899.49,3.966759002770083
San Diego,23122.229999999978,2521.4099999999994,4.258503401360544
Detroit,8205.64,1951.19,3.9156626506024095
Columbus,11514.51,1684.560000000001,3.7126436781609193
Springfield,9063.189999999997,1672.5700000000008,4.05511811023622
Richmond,5091.249999999999,1396.1499999999999,4.054054054054054
Newark,5414.709999999997,1178.9200000000003,3.8815789473684212
Columbia,6508.139999999999,1103.6100000000004,3.8225806451612905
Houston,28273.41999999999,1083.1299999999999,3.8899676375404533
Jackson,3666.8300000000017,1039.8000000000002,4.557377049180328
Louisville,3709.5199999999995,759.27,4.023255813953488
Philadelphia,30392.599999999988,706.4799999999999,3.8976744186046512
Milwaukee,3626.2200000000003,698.2500000000001,3.6363636363636362
Long Beach,3614.44,692,4.48
Henderson,3010.2700000000004,664.84,3.6216216216216215
San Jose,3383.73,641.37,3.888888888888889
Baltimore,2511.43,627.2799999999999,4.5
Rochester,2553.7100000000005,573.0799999999999,4.232558139534884
Jacksonville,11052.190000000002,570.6500000000003,3.7962962962962963
Lawrence,1909.5000000000002,537.81,3.911764705882353
Clinton,2236.1499999999996,477.98999999999995,3.9565217391304346
Chicago,22587.950000000004,456.32000000000005,4.223529411764706
Oklahoma City,2833.87,454.03999999999996,4.882352941176471
Concord,2961.56,447.8500000000001,3.96
Arlington,2457.5199999999995,444.82000000000016,4.130434782608695
Oakland,4030.1599999999994,440.3199999999999,3.0434782608695654
Anaheim,3096.729999999999,433.06000000000006,2.380952380952381
Dallas,10925.54000000001,426.12999999999994,4.12781954887218
Atlanta,1332.8600000000001,421.2200000000001,4.407407407407407
Lakewood,2518.3200000000006,417.02000000000004,4.131578947368421
Lafayette,4020.88,412.78,3.64
Franklin,1918.0500000000006,412.15000000000003,4.2592592592592595
Denver,7830.3499999999985,404.16,4.243243243243243
Fairfield,4313.46,401.80999999999995,3.4
Fayetteville,2756.33,383.93999999999994,4.029411764705882
Indianapolis,2701.4,383.71999999999997,4
Portland,3081.719999999999,379.46999999999997,4.3
Fresno,2545.99,378.85,3.2857142857142856
Little Rock,1157.24,363.57,3.7222222222222223
Oceanside,2299.04,363.37999999999994,4.24
Monroe,1806.57,347.83,4.157894736842105
Smyrna,1827.7100000000003,341.39,2.9473684210526314
Tulsa,1361.0800000000002,336,4.35
