Sub_Category,Category,Product_Name,Total_Sales,Total_Profit,Total_Quantity,Avg_Days_to_Ship,Total_Orders
Chairs,Furniture,"Global Wood Trimmed Manager's Task Chair, Khaki",1965.17,-171.95,27,3.5,8
Chairs,Furniture,Global Deluxe Steno Chair,1554.99,-157.79000000000002,25,3.888888888888889,9
Storage,Office Supplies,"Belkin 19"" Vented Equipment Shelf, Black",1153.16,-120.96999999999998,25,3.6666666666666665,9
Tables,Furniture,Hon 61000 Series Interactive Training Tables,586.47,-105.75000000000001,19,3,8
Phones,Technology,Motorola HK250 Universal Bluetooth Headset,832.2400000000001,-91.49000000000001,41,4.111111111111111,9
Furnishings,Furniture,"Eldon ""L"" Workstation Diamond Chairmat",850.97,-85.1,14,4,3
Chairs,Furniture,"Global Task Chair, Black",463.1,-80.41,12,4.2,5
Binders,Office Supplies,"Premier Elliptical Ring Binder, Black",109.58,-80.35,12,3.25,4
Bookcases,Furniture,O'Sullivan Living Dimensions 2-Shelf Bookcases,2970.07,-78.63999999999999,28,4.3,10
Chairs,Furniture,Global Low Back Tilter Chair,878.53,-70.68,10,3.6,5
Storage,Office Supplies,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",1784.5900000000001,-69.92,21,4.125,8
Chairs,Furniture,"Global Geo Office Task Chair, Gray",1238.99,-68.83999999999999,17,4.666666666666667,6
Binders,Office Supplies,GBC Plasticlear Binding Covers,68.88,-68.42999999999999,23,4.714285714285714,7
Bookcases,Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",1912.31,-68.11,18,3.2,5
Storage,Office Supplies,Tennsco Industrial Shelving,1085.81,-64.57999999999998,24,3.875,8
Bookcases,Furniture,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",3310.78,-60.20000000000001,16,4.2,5
Accessories,Technology,Microsoft Natural Keyboard Elite,958.0799999999999,-59.879999999999995,20,4.333333333333333,3
Phones,Technology,i.Sound Portable Power - 8000 mAh,413.30999999999995,-58.83,9,3.2,5
Accessories,Technology,V7 USB Numeric Keypad,461.87,-58.78,16,3.25,4
Chairs,Furniture,Novimex Fabric Task Chair,1548.8999999999999,-57.94999999999999,31,4.625,8
Storage,Office Supplies,"Contico 72""H Heavy-Duty Storage System",598.3100000000001,-57.370000000000005,16,3.8,5
Chairs,Furniture,Global Commerce Series Low-Back Swivel/Tilt Chairs,3957.4999999999995,-56.54,22,3.3333333333333335,6
Binders,Office Supplies,Acco D-Ring Binder w/DublLock,205.25000000000003,-56.44999999999999,24,4.375,8
Phones,Technology,OtterBox Commuter Series Case - Samsung Galaxy S4,384.84,-55.98,18,4.25,4
Machines,Technology,Cisco CP-7937G Unified IP Conference Station Phone,1391.4,-55.66,4,2.5,2
Tables,Furniture,Balt Split Level Computer Training Table,527.25,-55.5,5,5.5,2
Storage,Office Supplies,"Eldon Base for stackable storage shelf, platinum",872.26,-52.56999999999999,25,3.7142857142857144,7
Tables,Furniture,Hon 2111 Invitation Series Straight Table,546.97,-51.74000000000001,5,4.333333333333333,3
Phones,Technology,iOttie XL Car Mount,223.89,-50.370000000000005,14,2,2
Phones,Technology,Clearsounds A400,488.33,-48.83,11,3,3
Chairs,Furniture,Hon Deluxe Fabric Upholstered Stacking Chairs,2586.19,-48.8,15,4,4
Storage,Office Supplies,Tennsco Commercial Shelving,374.25000000000006,-48.60000000000001,21,4.888888888888889,9
Accessories,Technology,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,329.94000000000005,-48.59,31,3.7142857142857144,7
Tables,Furniture,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",846.72,-48.37,12,4,4
Tables,Furniture,Bevis Round Conference Table Top & Single Column Base,760.97,-48.29,7,3,3
Chairs,Furniture,Office Star Flex Back Scooter Chair with White Frame,621.48,-46.599999999999994,7,4.25,4
Tables,Furniture,Laminate Occasional Tables,1233.04,-46.239999999999995,10,5,2
Tables,Furniture,"Lesro Round Back Collection Coffee Table, End Table",273.83,-43.81,2,1.5,2
